Number, Time, Scramble 
12896,17.56,B' R2 U2 F2 U' L2 B2 L2 U R2 D' R' B R' B' L' B U' F D
12897,17.04,L2 B' U F L2 B' R' D2 B2 R2 U' R2 D F2 U' L2 U R2 B2 R B2
12898,18.38,U L2 D2 R2 B2 D' F2 L2 R2 D' F2 U2 R F L' R F2 L U R2 D
12899,21.29,L2 F2 D2 B' D2 B L2 B L2 R2 B R' D B2 D2 B2 L' U B R2
12900,12.47,F' U R' L' B D' R2 F U2 F2 B2 U' B2 R2 L2 U' B2 D L2 D2 R
12901,12.70,L2 U2 L2 D2 F2 D F2 L2 B2 U2 L' F' R' D' B R' U R' D B2
12902,15.21,D R B2 R' U2 F' L U L2 U F2 D2 F2 L2 F2 U' L2 D' F' D
12903,14.52,D2 F2 L' D2 U2 F2 R' U2 L B2 L2 D2 F' L' D R' D' U' B U2 F
12904,16.60,B' D2 U2 L2 B L2 F' R2 U2 F L2 F' U L D' B R2 U F2 L
12905,14.16,D B' D2 B2 F2 U B2 R2 U' L2 U F2 U R D' R2 U B F2 R2 D'
12906,16.28,L D L D2 L2 R' B2 R' B2 F2 R F' R D U' F U R2 D
12907,15.48,L' U2 F2 R' B2 L B2 U2 B2 U2 R2 D L F R B2 D F2 R' U2
12908,14.48,U' F2 U' F2 L2 U2 R2 D' U2 B' D' R2 F D2 B' R' F' L
12909,15.62,D2 L D2 L' B2 R F2 L2 B L2 B D' F L' B' F2 L2
12910,16.68,F2 U2 D' F L F' L' F2 R2 L2 D R2 D L2 U' D' R2 B2 R B'
12911,17.80,R U' R2 B2 R F2 R' B' F2 R2 U' R2 L2 B2 D' L2 U2 D' R2 U2
12912,15.81,R D' U' L2 U R2 B2 L2 U2 R2 U F2 B D2 L' R' U' B2 R B' R2
12913,17.58,D B' U2 B D2 F' U2 R2 F D2 B D2 L2 D' L' B2 D2 U R2 F'
12914,14.28,F' L' F2 L2 B2 D2 B2 U B2 D F2 D2 R2 L B2 D' R D2 F' D' U2
12915,16.07,U2 L B2 L2 D U2 R2 F2 R2 F2 R2 D' U' F' R B F' U2 R' D' B'
12916,14.79,U2 B F2 U2 B' R2 U2 R2 F' D2 U2 F U' L D F' U R2 B2 L' B2
12917,20.24,B2 R' F2 D F2 R2 F2 D2 F2 D' L2 F' D2 R' U' R2 F D' L
12918,16.55,F R2 U L2 R2 B U2 F2 U2 F U2 R2 D2 F R' F2 D' U' R' D2 F
12919,18.31,U' F' R' U' R' B2 R U2 R2 F2 U B2 D2 R2 U L2 F2 U2 L'
12920,14.18,L' F' R2 U2 B R2 B' L2 B F' R2 F' D' F2 R' U2 B R' F' R2
12921,15.30,R' U2 L2 F2 U' L2 D L2 F2 U' L2 B D' B' F' R' D' L2 F2 U2
12922,14.57,R2 U2 B2 D L2 D L2 U2 F2 R2 U' R' B' U2 R D L D F U' B'
12923,17.75,D2 L B2 L2 B2 R F2 L B2 R D2 R2 D' B L D B' D2 L F'
12924,15.42,U2 F' D2 L' B' R B U L' D2 B2 U2 R2 D2 L F2 D2 R' B2 U2
12925,16.47,R D R2 U' F2 U L2 D F2 R2 U R2 L' B' D F2 R F' D' R2 F2
12926,16.06,R' D L2 D2 B2 L2 D F2 D' L2 F R' F2 U R U2 L2 R B'
12927,17.96,B F2 U' F2 D2 R2 B2 L2 D B2 F2 R' D2 R2 F D' L U F' D
12928,15.69,L F' D2 L2 D2 B D2 B' L2 U2 B2 R2 F' D B2 R' F' D U' B' U
12929,19.56,L' F2 R' D2 U' B2 F2 R2 U R2 U' F2 R2 B2 L U2 F2 U F D' R'
12930,17.10,U R F R2 D2 U2 F2 L2 D2 B R2 B R' U B F2 D' B' U'
12931,14.80,U' B D' F2 R U' B' L U2 F U2 B U2 R2 L2 F2 B' D2 B2
12932,16.26,L2 U2 F' L2 F' L2 U2 L2 B' D2 B2 U2 D R B U2 B D' U2 L B2
12933,17.80,F U F2 D2 R2 U R2 U' L2 R2 U' L2 D2 R' D L' R2 B D' B' F'
12934,14.41,U' D2 R' U2 F2 L2 U2 L' D2 B2 R2 B D' U F2 D L U R
12935,17.61,L' F2 L' R2 F2 L' B2 D2 F2 U2 F2 R U R2 B D' U2 F2 D' R'
12936,14.49,R' L2 B2 U2 R2 D' F2 D L2 F2 U2 L2 U F' L' F2 U F2 D R' B
12937,16.52,L' F2 D2 U2 R F2 U2 F2 U2 R2 D2 B L' B' R' B2 F' L D' U'
12938,17.45,U' R2 D' B L2 F2 L' F' D2 B2 R' L' U2 B2 L D2 F2 L F
12939,16.93,B L' B D F2 U2 L' R2 B' L2 F U2 R2 L2 F2 R2 D' B'
12940,17.93,D F2 D F2 R2 U' B2 R2 U' R2 F2 R U B2 R' B' D U R2 U
12941,14.18,R2 F L2 B2 U' F' L F R U D L2 U B2 L2 D' F2 U F2 R2 B2
12942,14.04,R' U B2 L2 B2 R2 U2 R2 U B2 D' B D' R' F D B2
12943,16.73,R' D U2 F2 D2 R B2 R B2 L' D2 U2 L' B' F2 D' U R U R'
12944,18.29,F R' D2 L2 U2 L' F2 R D2 U2 L2 R' D' B2 L' U' L2 B' R U'
12945,17.19,B' U2 F2 R2 U2 R2 B' U2 B2 D2 U L F' L B U R D L'
12946,16.85,F U B R' B2 L2 D2 R' U2 R2 U2 F2 D2 L U' B L' D' U2 R2 U2
12947,17.05,L2 U' F2 D R2 U' L2 U' R2 F2 U' F2 R' D2 F R D' B2 D L2 B'
12948,17.28,B2 L' U2 L' D2 F2 U2 L' U2 R' D2 R' B' U R D' L' F2 D R
12949,15.20,F B' L F' D F' B' U2 R U2 R2 D B2 D L2 B2 R2 L2 D2 F2 B2
12950,21.27,L2 D' L2 B2 R2 D2 R2 B' R2 B R2 F' L2 B' D' R U' L B L D2
12951,14.83,F' B2 D' B2 R2 U' R2 U2 F2 R2 D F U' R D F L' D B F'
12952,19.54,R2 B D' U2 B2 D' L2 U L2 U' B2 R B' L B2 F2 U' L2 B
12953,16.64,F2 R F2 L' B2 R B2 U2 R D2 U L B L2 U F' D B R
12954,17.10,U2 L D F B2 D R2 U2 L' D2 F2 R2 F' B2 D2 F2 L2 U2 D2
12955,16.90,B2 U' B2 U2 F2 U2 F2 L2 B2 D B2 D' R B' F' L F U' L2 U2 F2
12956,14.45,R2 B L' F D B2 L' U D' L2 B' D2 L2 F L2 F U2 D2 F L2 B'
12957,17.29,F' L2 D2 U2 F' U2 B2 D2 B' U2 B L' F U F2 D' B' U' B' R F'
12958,16.35,L2 D B2 L' F' B' R' B2 L U' R2 B2 U2 B2 U' R2 L2 F2 D' B2 U2
12959,16.54,L' F2 U2 B2 U' R2 F2 D R2 D L2 F2 U' F' R' U' B L' U2 F'
12960,13.78,U2 F2 L F2 R2 B2 D2 L' U2 L2 B2 U2 D' B F L U' B F2 R'
12961,13.92,R2 D2 B2 D2 U2 L2 B L2 F' L2 F L2 U' R' U B' L2 F' R2 F'
12962,15.33,B' F2 U2 F2 R2 B2 F2 U' F2 L2 R2 U F R D B D2 L D' B' D2
12963,13.20,R B' R L U B' R' U2 B2 R2 D F2 U' L2 B2 U2 R2 L B'
12964,13.54,F U R2 D F2 R2 D2 L2 D B2 L2 U' R' B' F2 U L2 R' F' U' L'
12965,16.12,B L2 D' L D B2 D' F' R' F' L2 F2 L2 D2 L2 D2 B U2 F U2
12966,13.00,D L2 U2 B2 L2 U' L2 U2 F2 U' F' R' D' B R B2 F2 R' F' R2
12967,14.75,F2 U' R2 U2 L' U2 L B2 F2 R U2 B2 R F D' R' D B F2 R'
12968,16.28,U L2 D L2 U B2 U2 F2 D F' D L' R' F' R U B' D' U'
12969,18.32,L' B U B' D2 B' L2 U2 B2 U2 F R2 F' U' L' R' F L R' B'
12970,15.20,D L' U2 D B2 L U2 L R2 D2 F U2 B D2 F' L2 U2 B2 D'
12971,16.93+,L F2 R U2 D2 L F U' R B2 U B2 R2 U' B2 U' R2 F2 U' F2
12972,14.08,L R2 U2 B2 R2 D R2 D F2 D' B2 D' U2 L F L D L B'
12973,17.44,U' R' B2 U R' L2 F U R' L' B2 L' D2 R F2 B2 D2 R
12974,14.99,U B2 L2 B2 D' L2 D B2 D2 R2 U' R' U' L' D2 B' L F' U2 L' B'
12975,22.24,U' R F' L U2 R' B D2 F' U F2 D B2 D F2 R2 D R2 D B2 D
12976,14.34,L' F L F D2 F2 D' F2 R D2 F2 D2 L2 U2 R L2 D2 F2 L2
12977,19.14,L2 U2 L2 B2 L B2 R D2 B2 D2 F2 B' L' U' B' F' U' R' B U'
12978,12.61,F R2 F2 L2 D2 B U2 F' U2 B U2 R B' U B L D' F L B2 L'
12979,13.38,F2 U2 B' U' B2 L2 D' F2 R2 B2 U2 F2 D' F2 R' D' B D2 L' F' R'
12980,15.76,B2 F2 R U2 L2 D2 B2 L D2 B2 L2 F L' U L' D2 F2 D L2
12981,14.29,L2 F U' F' R' B U B2 L2 B2 L' B2 D2 L' F2 B2 R2 D B'
12982,13.20,L2 U R2 U F2 U2 F2 U B2 D R2 F2 R' U2 F' U L2 B' U2 R
12983,15.76,D' R2 B R2 U2 R2 F2 L2 F' U2 B' L2 U' L B F L F2 L2
12984,17.73,R F2 R D2 B2 D2 B' U2 F' R2 U2 F D2 L' B2 D' L' D U R
12985,15.26,L2 D' R2 B2 L2 B2 U L2 U2 B2 U' F U2 L U2 F2 U' R' B2 D2
12986,17.89,L B2 L' U2 B2 F2 L2 D2 U2 L' U2 R D' F L2 D' B R D F' D'
12987,14.05,R U D2 L U2 L2 U2 F2 R2 B2 U2 R' D2 R2 D L2 F D' R U' F2
12988,15.30,D' B2 R2 F D2 B F2 U2 L2 U2 R2 F R2 D' L B2 L F D2 B2 R'
12989,13.39,L F2 D2 R' D2 R2 D2 R' D2 B2 R2 U B' D' L' U' L B L F' U'
12990,13.90,F2 R2 B2 L2 F2 R2 D2 F2 U' L2 U2 F2 L' D' B R D' R' F D U
12991,14.82,F' U' D' F R L U D2 F' B2 U' L2 F2 D L2 U2 R2 L2 U' F2
12992,16.90,L U' B2 L2 R2 U' F2 R2 U' L2 D2 F2 U F' R' B' L2 F' L' B2 L2
12993,13.87,U2 B2 L2 B2 L2 U2 F2 R B2 L' R2 F' L2 B U F2 U2 B F2 D'
12994,15.37,L2 D2 L2 U L2 D' L2 R2 F2 D' R2 B' L' B U B R2 F' L D R
12995,17.26,L2 F' U' R D R' F U2 F2 R2 U2 D' B2 D R2 B2 R2 D2 R2
12996,17.69,L2 U2 L' U F' B2 R L2 U2 L2 D B2 U' L2 D' R2 B2 R2 B R2 D'
12997,12.82,U2 F' R2 U2 B R2 B2 U2 B' R2 F D' F2 L F L2 U2 R2 D2 B2 U
12998,19.38,F' D' R2 D B R2 L B2 U' B2 U2 B2 L2 D R2 F2 U2 F2 D' L'
12999,17.64,L2 U F2 U' B2 D L2 D R2 B2 F' U L2 B L' D U2 F2 L R2
13000,11.55,R' L2 F2 D2 B2 D R2 B2 D B2 D' L2 D' L U2 R2 U' B' U F U
13001,13.78,U' D' F2 R' F U D F' R U2 B2 R' D2 R D2 R F2 L2 D2 L B'
13002,16.73,F R2 U F2 L2 D U2 L2 D L2 B2 U' L U' B2 D2 R B' F U R'
13003,13.27,B' L' F2 D2 L2 B L2 D2 U2 B' D2 L2 F' R2 U' L' F' L F2 U2 F
13004,18.69,B' L U L F U2 L B' L' R2 B2 D L2 D R2 U' R2 D F2 D2 B2
13005,12.30,U' R2 U L2 B2 U' B2 R2 F2 U R2 L B' F2 U2 B2 R2 B' L' R' U
13006,15.08,U2 F' R2 B' U2 B U2 B2 U2 R2 D2 U' R D2 F D' L F R D2 F2
13007,16.44,U2 F R U2 R' U' F U B2 L2 U' F2 U L2 D2 B2 D F2 D L
13008,15.11,U' F U2 L2 U2 R2 B2 L2 U2 F' L' B D B F2 L2 D' F L
13009,16.27,F R' B2 U2 R2 U' B' R2 F2 U2 B2 D F2 R2 U B2 U' R2 U2 F'
13010,14.72,F' U2 L2 R2 F2 D2 L2 F L2 D2 L' B2 R U2 B2 U' L2 F' R F'
13011,18.83,B D2 F2 D2 L' F2 U2 R' U2 R2 F2 R U B' U' L2 U' B2 D2 B
13012,15.40,R2 U' B2 R2 D L2 F2 D2 U' L2 F2 U' B U B2 L' U' R2 B L2 B2
13013,12.61,R2 F R' L F2 U L B' U2 L2 U2 R' B2 U2 R F2 L' B2 D2 R' B
13014,15.38,R' U2 B2 D2 R2 B2 R' F2 R' D2 L2 B R' F D F' R' U' F D2
13015,15.32,L D' L2 D' R2 F2 U F2 D B2 R2 D2 F' D L U2 F2 D U' R D'
13016,13.13,D2 U2 R2 B' L2 B U2 B' L2 R2 F2 D' B2 R U R B U' B2 R
13017,17.35,F R2 B2 R2 F D2 L2 F' D2 B' R2 L B2 F U F R' U2 L' F
13018,14.29,B' R2 D L2 D B2 F2 U R2 D2 B2 R2 L' U' F2 L2 U' F U' B' F'
13019,14.35,L2 B2 L B' U L2 U R2 U2 L B2 L' U2 F2 R2 U2 L F2 R D'
13020,13.27,L2 F L2 F2 D F R D2 L F2 D2 F2 R2 D2 F L2 U2 F' L2
13021,13.72,U' F2 R2 U F2 D2 L2 B2 R2 U' F2 R' F' U2 L D' B L' D' B' F2
13022,17.64,R2 D2 B2 R B2 L2 R' U2 F R D2 F D' B' L U R D2
13023,14.01,B' R' D2 L2 U2 R B2 F2 U2 R' B2 D2 B2 U' L' D F' U' L' R'
13024,21.75,F2 L2 U2 R2 U2 R2 F2 U L2 U2 F2 R B F U' F2 D2 R' D L' D
13025,15.77,B2 R' B2 R B2 U2 R' D2 R2 B2 R' D R B' D2 U2 L' U F2 R
13026,19.53,F2 L2 U' R2 D' U' R2 F2 D2 U' B2 F' R' D' B F L' D' R B
13027,16.33,B2 D' F2 D' F2 U B2 D R2 D B2 U2 B' U' R B' D2 F2 R2 B' L
13028,17.66,L2 F2 R2 U2 F2 U' L2 U' B2 R2 U2 L' D' B D2 L2 B R2 D2 F2 R2
13029,15.84,U' R2 B' R2 D2 B' L2 B2 D2 L2 D2 B D2 L' B D L2 U F2 R' U'
13030,15.30,B2 D L2 B2 U R2 U' F2 L2 U' B2 L2 F U B' L U' R D U2 F2
13031,19.28,R' B R' U F R F L' U2 R F2 B2 L D2 F2 L' B2 U2 R2 U F
13032,15.19,D2 F2 R2 D2 R' U2 L U2 L2 F2 R' U' L' R2 U' R2 B' D F2 U'
13033,15.78,B' U B2 F2 L2 D2 F2 U' R2 U L2 U2 F R D2 F2 D' R2 F2 L'
13034,12.07,R2 F' U' D R B U' R' B2 L F2 U2 F2 R2 U2 L D2 F2 U L2
13035,16.86,R2 U2 B2 F R2 D2 B2 U2 F D2 F' D2 U R D L2 D' B' U2 L2
13036,16.40,R D F2 R2 D' R2 D L2 F2 L2 B2 D B R' F' D' L U' L' F2 D2
13037,17.49,U R2 D2 U2 L' B2 L' B2 F2 R F2 U2 R2 F' U' L2 U' F D' U2
13038,19.40,R2 F2 L' R2 U' F2 R2 U L2 R2 U' B2 F2 U2 B U2 R F L' D F'
13039,13.64,F2 U L2 B2 L2 R2 D2 F2 D U B' D' L2 R' U2 F2 D' F U
13040,16.12,B2 U2 F2 U2 F2 L2 B2 D R2 B2 D2 L' D R D' F' U' B L' F2 U'
13041,14.27,R F2 U' B2 L2 U2 F2 L2 D B2 U' B2 U F R2 F R' F' R' B L
13042,14.71,L' U R2 D' L2 D L2 D' F2 L2 B2 L2 U B' L' B F' U2 R2 D F'
13043,14.73,D L' U2 L2 D2 B2 F R2 F D2 F2 L2 U2 L U' B' F' U2 L' F
13044,18.44,U L2 B2 R2 B' U2 L2 B L2 F' D2 R2 F' R U' L2 F' D' L2 U2 R
13045,16.52,B' F2 D' B2 D' B2 D' B2 U2 L2 B2 D' L' F2 U B' F2 D L' F
13046,15.64,B' F2 D' B2 D L2 D L2 B2 L2 U2 L2 D2 R' F U R' F2 U' B R'
13047,16.16,U' D2 R B' D B R2 B' D' U2 L B2 L2 U2 F2 L U2 R' F2 B2 D2
13048,15.33,F2 L2 R2 U2 F' R2 F2 D2 L2 F U2 L2 D' L U' R U' L' B D2 R'
13049,18.10,R2 B' F' D2 R2 F' L2 B D2 R2 F' D' F' U' R' B L R F L
13050,14.50,R' U' L2 D' F2 U2 F2 R2 U L2 D' R2 B2 F' R D B' L' R2 U' B'
13051,14.93,D2 B2 U2 R2 B U2 B' R2 F2 R' B D2 L2 R' D U' B2 R' B'
13052,15.33,D F U2 R' F2 U2 D B R B2 R' F2 D2 R' U2 F2 B2 R U2 D'
13053,13.96,D B' F' D2 L2 B D2 F U2 L2 D2 F' R D' R2 B' F2 U R' D
13054,14.98,U2 L2 F D2 U2 F2 R2 F D2 U B2 U L' U L' B2 L2 D'
13055,13.11,U B' D2 B' U2 F2 R2 F' D2 R2 F L2 D2 U' R' D2 U' B2 R B2
13056,15.57,L D' F2 U2 F L2 F2 U2 B' D2 F' R2 F U2 R' U R' D F' L2 B
13057,16.57,D2 F2 L2 F2 D F2 U L2 D2 B' L2 D' L2 B' L2 R D U2
13058,13.17,L' F D2 U2 L2 F' R2 F U2 B U2 L2 F L' B2 U L2 D' F2 L' F
13059,14.44,L2 R2 F2 U' L2 R2 B2 D' L2 F2 D B2 F' D R U L2 B' D' R2 D
13060,13.12,B' U B2 R2 D2 L2 D' B2 L2 F2 U2 F' R' D U R' U2 F2 D' B'
13061,17.20,R L2 U' B2 U' R' B R2 U2 F2 L2 F2 D2 R' U2 R L2 D2 L' U'
13062,16.77,F' R' U' L2 D2 B R' F D' B R2 F' D2 B D2 B2 U2 B'
13063,13.28,B' U' F2 L2 D' U2 B2 R2 U' R2 F2 R2 F' D' B D R U L' F'
13064,16.37,L U F U L B' L2 D' U2 R' D2 R2 B2 R U2 R F2 D2 R U'
13065,15.87,B' U R2 F2 D2 B L2 B R2 U2 F' L2 R' D2 L2 D' L B' U
13066,11.91,U' R2 D2 R2 F2 D' B2 D2 F2 L2 B2 D B L' D' B' F' L F2 U2 L
13067,16.13,B2 D2 U R2 D B2 L2 F2 U' L2 D R D' U B2 R U B' U F' L'
13068,15.76,F2 D R B2 R D2 L B2 D2 F2 L U2 R2 B U2 F D' R D2 L
13069,16.97,D2 U L2 F2 U' R2 F2 D U F2 B' D L2 B' R F L' R U L
13070,14.03,D L' B2 F2 R U2 B2 U2 R' U2 L U2 B L' D2 R2 B2 U F L2
13071,14.88,F' U2 B' R2 D2 F2 R2 B D2 U2 B' U' F' D2 B2 L U' R' B' R' D
13072,18.82,R' L2 D F' L2 F' R' F U2 R' D2 L' F2 L U2 D2 F2 U2 L
13073,13.21,R F R2 L F' U L' D F2 B R2 D2 B' R2 D2 R2 F' D
13074,16.84,L U' B L2 D2 B2 D2 R2 B2 L2 B' L2 B D L F2 D' F' L' F2
13075,23.78,D2 R2 D U2 B2 R2 D B2 L2 D R B' D' F' D2 U' B2 F2 L' F2
13076,14.28,D L' B' R2 D2 U2 F' U2 B' L2 R2 U2 F' R2 D' L U B2 U2 F' D2
13077,14.23,U2 F D F2 D2 B2 U' B2 D' B2 F2 R2 D U2 R B L2 F2 U2 R D
13078,16.42,B2 R' F2 D2 L F2 R' U2 R' D2 F' D B' F' R B' F R2 U2
13079,12.81,U2 B' U2 B2 D2 R2 D' L2 D L2 U' R2 U' F D' U' B' R' D B2
13080,15.89,D' R B2 R' U2 F2 B L B2 L2 U2 D' R2 U2 L2 D' R2 L U
13081,15.64,U' F U B L U' B2 D' L D F2 L2 D2 F2 D B2 L2 U' D2 B2 D2
13082,16.37,L F D2 L2 D2 F D2 B L2 R2 D2 L' U2 R' F U' F L' R'
13083,13.46,L2 U F B2 R L' F' L U B2 U2 R2 F2 U' R2 U' R2 U F2 D'
13084,14.54,L R2 F2 U' L2 D2 R2 U2 B2 D' B F D U2 L' B2 F' R' U
13085,15.13,L2 F' R2 D2 B F D2 B' L2 F D2 U' L' B R B R2 F2 L' U2
13086,15.08,L2 B' L2 R2 B' U2 L2 F2 U2 F2 R' F D' F2 D2 F2 D2 L R'
13087,14.12,B2 D2 R U2 R2 U2 L2 F2 L' B2 U B' U' B L' D2 R' U2 R2
13088,13.63,F2 D' B D2 B R2 F U2 R2 D2 F' U2 F2 L' D' L' U2 R' D2 U2
13089,14.55,B L F2 R2 F2 U' F2 R2 F2 D B2 L2 U' B L2 D L2 D' U L2
13090,14.05,F' L F B' R B D R F2 L2 F2 R2 B2 U2 L2 D F2 U2 L
13091,16.13,D' F B2 L2 B2 D2 L B2 R2 U2 L' U2 D R' U L B' F2 L'
13092,15.35,F U L2 D B2 F2 U L2 B2 U' L2 R B2 R' U2 F D F U R
13093,13.61,L' U' B U' B2 U F2 U' F2 L2 D B2 R F2 U' L' B' D B2 D
13094,12.17,F2 U' B2 F2 U' B2 D R2 U2 R2 L' B2 F' L' D' B' U' F' R' D'
13095,14.67,B2 R2 U2 F2 D' B2 F2 U R2 D' B2 U' B' R B F' L F2 L2 B' L'
13096,13.29,R' B' D R2 D2 R B2 L2 D2 U2 R' B2 R D' R F' D2 B U' F2
13097,12.73,F2 U2 F2 L2 U' B2 D' F2 R2 D2 U' B R2 F' R B2 L' F' R2 D U2
13098,13.33,D2 F U2 L2 F2 D2 L2 F R2 F' L2 F L D R2 F D F R2 F
13099,15.21,U' F2 L B' U F D F2 R' F' U2 R2 B' R2 F' R2 L2 B' L2 F R2
13100,17.01,R2 B2 R2 D' F2 D B2 D B2 D2 F2 B' L R F' U' B F2 U' L' R'
13101,13.08,L' U' B2 R' L D R' B U' L2 U B2 U' F2 U2 B2 L2 D' L2 B2
13102,18.51,U L2 U2 L' U2 F2 R B2 R2 B2 R D2 B' L B D' B' R' U2 R
13103,15.07,B2 R2 U F2 R2 F2 D' U2 B2 U2 R2 L D L2 F' R' B F U' F R'
13104,12.06,U R U2 F2 R D2 L' F2 R B2 R' D B2 U' L' F L U L2
13105,14.50,D' B2 R2 B2 R2 D2 B2 D F2 D F2 L2 F' L' B2 D2 R2 U' L F' D'
13106,15.05,U' L D2 B2 D2 L' B2 R' D2 B2 D2 R2 F' R D' F2 D R' U B'
13107,16.03,F R2 D2 B F L2 F' U2 L2 B D' R B' D' L' U F R2
13108,18.20,F' R' B2 D' F2 U B' R' L2 B' U2 F2 B' L2 B L2 U2 B' L2 D
13109,15.25,U' F' U2 D' B D2 B D' L' D' B2 D' L2 B2 U F2 U2 R2 F2 L2
13110,15.91,D2 F' U2 F U2 F2 D2 L2 F' U2 R2 L F D F R2 B2 U' L' D' B'
13111,14.40,F2 U L2 R2 U L2 B2 D' F2 L2 B L' B2 R' B2 U' B L2 B2 R
13112,14.92,L' B2 U2 F D2 B D2 U2 B D2 R2 U2 D' L' B' L2 R2 B U F'
13113,14.02,U F2 R2 U2 R2 B' D2 F' L2 F' U2 F' R' D' B' L U2 R' D U' F2
13114,14.69,B2 U2 L2 R2 D' R2 U F2 D L2 U2 B2 L' F U' R' F U B' R'
13115,15.57,L2 U R2 U' L2 U2 L2 F2 L2 U' L' F2 L2 D F2 D2 B R B2 D'
13116,17.35,F' U2 F2 D2 B D2 L2 F' D2 B2 U2 R' D U' F2 L F2 R2 D' B
13117,15.51,F2 L2 B2 F2 D F2 L2 D B2 R2 B' D' R2 U2 R B' L F R U
13118,15.20,F U R' U2 R B L' B' L D L2 D2 R2 U' B2 L2 D L2 U2 F2 R2
13119,24.30,B2 U R U2 L' B2 R2 B2 F2 R D2 R' B' D U2 L2 U2 R B
13120,13.69,L' B L D2 R F2 D2 F2 L R2 U2 R' U2 D B2 L' B' R2 U' R'
13121,16.83,R' U2 L' F2 L D2 R2 F2 R' U2 D F' D2 U L B' R2 U2 L' R
13122,16.96,D' F2 R2 D2 F2 L2 F2 R2 D L2 F D' B2 R2 U' L' B' U B2 R2
13123,17.28,R' D2 R2 B D' F2 R D2 R2 B' R2 B L2 B' D2 F L U
13124,14.13,U F' D2 B' L2 B' D2 F U2 B F2 D2 L2 U L2 R2 B L' B F L
13125,17.08,R' F' U2 L U2 L2 B2 R B2 D2 R2 U2 F2 L2 F' R D F' L2 F' D
13126,15.45,B' R' D2 R2 D L2 U' L2 D2 U' B2 U' B2 F' D' R' B D2 R B2
13127,16.90,R' D' U2 R2 U2 L2 R2 F D2 F' L2 B' D2 F D' R D U' R2 F' D2
13128,16.36,D U2 L' D2 R2 F2 D2 B2 L' F2 D2 F2 D2 F' U' L2 U2 B L' U2 F2
13129,13.96,R' D2 B2 R2 B2 L2 U' B2 D' F2 D' B' U2 L F' R D2 R2 U' F
13130,18.70,F R U' L2 F' R2 F' U2 B L2 F R2 D2 B D B' D2 B L F' R
13131,14.61,B L' B' U' D' B U' F' B' R2 L2 F' D2 F U2 L2 B' D R'
13132,15.74,U R' L2 U2 D' R B' R U2 B2 L2 B2 L F2 B2 R' L F' L'
13133,14.87,D R' D' F2 R2 F2 L2 U2 L2 U F2 L2 D' R U2 R' B' L F L2
13134,15.08,L2 D' R' D' F2 U2 L2 B2 R2 D' B2 U F2 U B' F R' D2 B' U' F'
13135,15.78,B U2 R2 B2 R2 B2 D' F2 R2 D2 F2 R2 U' L' D' U' L' D2 B' R
13136,14.60,R U' B2 R2 D R2 F2 U' F2 D' U2 L2 U2 L D L R' D L R2 B'
13137,20.53,F L' D2 B2 L' B2 L U2 B2 R2 D2 R2 F2 D L D2 B' U' L' D'
13138,15.25,U' B2 R' L F D' R' U' F2 L2 U2 F' D2 F R2 D2 B U2 F' U2 D
13139,14.27,U2 F2 U2 L D2 L F2 R D2 F2 U L2 F' L' B2 U2 L' R' B
13140,14.64,R U F' L2 R2 F D2 F2 D2 B2 R2 D B' R2 B R
13141,14.28,U' R2 U' R2 F' D U R' F2 D2 R2 B R' U
13142,17.06,L2 D2 F2 L F2 D2 R2 D2 R2 U2 R' D' F' L' B' U F2 D2 U' L
13143,15.83,B L2 B R2 U2 F L2 R2 B2 R2 F' D' L D2 B' U' L F L' U
13144,14.28,F D2 U' F2 D B2 L2 U F2 U' L2 U' B D2 R B L' U' B' D'
13145,15.64,B U R' U2 B2 L2 D2 F2 R2 D' R2 B2 U F' D L2 F2 L2 D' B'
13146,14.43,B2 L2 U2 R2 F2 U2 B2 U R2 F R2 B' D2 U B2 U' L' F' U
13147,14.38,B2 D L F L2 D' R2 U' L D2 L2 F2 R2 F D2 F L2 B2 L2 D2 F
13148,15.36,D' R' D2 L' F' U L' F R2 U2 D2 L' B2 D2 R' B2 U2 R' D2 R F
13149,15.11,L B' F2 U2 F2 L2 D' F2 R2 U' L2 U B2 R' D' B2 L D2 L' R'
13150,18.12,F2 B' R2 D L B' R2 B' R2 B2 L2 U' D2 R2 F2 B2 U' B2 U2 B
13151,14.55,L' D' B' R2 L' U D2 B L' F2 U' F2 U2 R2 D B2 D2 L2 U
13152,13.12,D' L F2 U2 L2 B U2 L2 U2 B2 F' L2 U L R B' U B' D2 R2
13153,16.20,B U' F' U' R2 U' F2 U B2 D2 F2 D' L2 D2 L' D2 R D U F L
13154,15.71,L D' F B' R B R U R2 F2 R2 B2 U L2 U2 D R2 F2 R' B2
13155,15.77,U2 L D2 U' L2 B2 U F2 U' R B2 L2 D B' F' R' B2
13156,17.36,U F' D' L2 D F2 D2 F2 U' B2 R2 U2 R D' U B' R' U' B2 D'
13157,23.56+,D F' L2 R2 F' R2 B' U2 F' L2 B2 U' B2 D' L' F' U' B' U'
13158,17.45,R2 U2 R2 F2 D' U2 F2 D' R2 D R' D U R D2 R2 B U2 F' U
13159,14.85,R2 B D L D R' L' B U D2 F' D2 F R2 L2 F2 D2 R2 U2 F D2
13160,16.15,B' D2 R B L' U' F L U2 R2 F2 L2 D2 B2 D2 B2 L2 D F2 U
13161,15.07,L U' L' B2 L' D2 L' U2 R' B2 D2 R2 U2 R B L' U' B' R2 B' U
