Number, Time, Scramble 
64,16.49,R2 D2 B U2 R2 F L2 F R2 U2 B' D R2 B U2 F2 L' F R D' B
65,13.36,D2 L2 D2 F U2 B2 L2 B U2 L2 B' D' U' B' D L' R B' U' L U'
66,17.08,D2 F' U' L F2 D F' B R L' B2 L2 F' L2 U2 F' U2 L2 B' L2
67,16.52,D L2 U L F' D2 F' U L B2 U' R2 F2 U2 B2 D2 F2 U B2 F
68,15.94,R U' L B2 D R B U F' U' B2 D' R2 U F2 L2 U2 B2 R'
69,13.56,L' D2 F' L2 D2 F' L2 B2 F' L2 U2 R' B D L' U' L U2 F'
70,14.80,F2 D' L2 R2 B2 D' R2 B2 L2 F2 R2 F U F' U B' U L D2 B' D
71,16.51,R' B' U' R' L2 D2 B' R' F' R U2 R U2 L U2 R' U2 B2 L
72,17.48,F2 U B2 D F2 U2 F2 U R2 B' F' D' F' L F' U' R B F2
73,16.04,U' L2 B D2 B D2 F D2 F' U2 L' B L B2 D' L F L' U
74,15.85,D' R' U2 L' B D F2 U' R' U D R2 F2 U2 D B2 D L2
75,14.93,L' F2 R2 U F2 L2 R2 U' L2 U2 L R' B' D2 F R U' R2 B
76,14.97,L2 F2 B' D' F' R L' D' B F2 L' D2 L U2 F2 R' U2 L2 F'
77,17.19,F2 L' U2 F2 D L' U' B L' U2 F L2 B' R2 L2 B R2 F D2 L2
78,14.40,F' U B' L' B2 U2 D L' U' L U2 F2 R2 B2 D L2 B2 U D
79,12.12,F2 D B2 R2 U2 B2 U R2 B D2 R' D2 F2 D2 U2 F' L
80,15.21,L B2 R2 F2 L2 R' U2 R' U2 F' L2 B' L2 D R' D B' L' D
81,16.88,R' D F2 U F2 R2 D' L2 D R U R F2 D2 L' D' R B'
82,17.66,B2 U2 F' D2 U2 B' U2 F' U2 R2 F2 D L' U' L' U' F2 D R F2
83,15.86,B2 U' F2 U2 R2 F2 D' U2 F L B2 D F2 U B' D L' R2
84,20.34+,U' D F2 L' D' R D2 R2 D F U2 L D2 R2 L' U2 B2 U2 L' B2
85,19.13,R F2 R' U2 B2 L' F2 D2 L2 D2 U2 B' D2 U' F2 R B2 L2 U2
86,14.49,F R' U2 L' D F' R2 L2 D' L B2 R' D2 L D2 F2 R' F2 U2 B
87,15.00,L U R D' L2 F U2 F' B2 D L2 U' R2 F2 U' R2 U L2 D' B'
88,14.48,D F2 D R2 U' B2 R2 U R2 U B2 L' B2 D' L2 D' B' L D U' B
89,16.40,R U L' F2 R' B' R' U2 R D F2 U' R2 D F2 U' L2 F2 U B
90,16.38,L' F U2 B' U F' B2 L' R2 F R2 B2 D2 R2 D2 L2 F R2 B' D
91,15.10,L2 U2 R' D2 R D2 F2 R F2 L2 B' U L' B R B D' U2 B F'
92,15.72,L2 B2 U F B2 L D2 R U R F' D2 B U2 D2 B2 D2 B L2
93,12.82,L' B' U' D R L D L2 U B2 D2 L2 F D2 B D2 R2 U2 D2
94,17.00,B2 D2 L2 B R2 F2 L2 R2 B' D2 U F' L2 R U F U F' D2 L2
95,14.45,U2 F' L2 D2 U2 B D2 F' L2 D2 F' U' B' U2 R B' D L2 U' R2
96,16.53,D' R F R' B' L' B R2 U' R D2 F B L2 U2 F' L2 F' D2 F
97,17.01,B R2 L' F' U R D F2 R F2 L2 B R2 U2 F' L2 D2 R2 F' D
98,14.36,F' R2 F' D L2 U2 B2 R D R' B2 L F2 L2 D2 R' U2 D2 L2
99,13.13,U' F2 D B2 U2 R2 B2 U F2 D R' U B F D2 L' D2 F U R D
100,12.63,U' L2 U2 B2 F2 U R2 D2 F2 U2 F2 L B' R' B2 R2 D' R F U R
101,20.04,F' B2 L U2 L D2 F2 L' F2 L' U' B2 L' F L R F2 D F'
102,19.41,U F' D2 F' B2 U R2 D F R B2 R2 U L2 U L2 U R2 L2 B2 L2
103,16.00,U2 B D2 B R2 D2 B2 D2 B F' D' F R U' F U F D' U'
104,15.67,F' R2 F U2 B D2 B2 U2 R2 B2 U' F D B R D L2 U' F L'
105,12.23,L2 F2 R2 D L' F D' R2 B R' F2 U B2 U' F2 D R2 U' B2 D2
106,14.48,B' R' D F' R B D2 R L2 U2 R2 B2 D' F2 D2 B2 U L2 B2 R'
107,16.30,U B L D2 B' R2 D B' D' F2 B2 U' R2 L2 F2 D' L2 D2 B2 F'
108,15.46,R' U F2 R2 F2 R2 F2 U2 F2 D' U2 R2 B' F2 D' L D2 B2 L' D2
109,13.88,R U2 L B2 D2 R B2 L2 F2 U2 D L2 U' R' B2 U2 R B'
110,17.73,D2 B2 U2 F' U2 D' R' U B' D2 R U2 R F2 L' F2 U2 R2 U2 L2
111,12.24,F L2 U2 B2 R' F2 R' U2 L' B2 F2 L' U R' F2 D' R B F R2
112,15.00,U R2 U2 B2 D' F2 U2 L2 U B2 U L' F2 R' B L2 R' F L R' B2
113,14.44,F' U R2 L2 U R' U F2 R' D2 B' U2 F2 D2 L2 B' D2 F L2
114,14.20,R' U' B' R U2 L F' R2 U L2 U2 F R2 U2 R2 F R2 L2 D2 F2
115,16.05,D2 L D R' L2 F U2 B D' L F2 D' L2 F2 D' B2 U' D' L2
116,17.04,D2 B R2 B2 R U' L' F2 R' D2 B2 L2 B2 U' B2 L2 U2 D' B2 D
117,17.09,F2 D2 F2 D U2 B2 F2 U' F2 U' R2 F' R F2 U' L' R' B' D' U
118,15.20,R2 B D2 U2 B2 R2 U2 L2 B' D2 L B' D' R B U L2 D L' R'
119,14.86,D2 B2 R2 U' F2 R2 B2 L2 U' F D2 L B F L' D2 L R' B'
120,15.96,F2 U2 F2 R D2 R2 U2 L' F2 R' D U' F U R' B R' B2 D2
121,12.51,D L2 U R2 F2 D B2 U2 B2 L2 D' R' U' R' D2 F2 D2 F' D' B
